xiaojizhi      	ls             	Thu Jun 13 06:43:53 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:43:58 2019

xiaojizhi      	ls             	Thu Jun 13 06:43:59 2019

xiaojizhi      	cd src         	Thu Jun 13 06:44:06 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:07 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:19 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 06:44:28 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:29 2019

xiaojizhi      	cd ..skofxiaojizhi	Thu Jun 13 06:44:32 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:40 2019

xiaojizhi      	login          	Thu Jun 13 06:48:48 2019

xiaojizhi      	puts md5.o     	Thu Jun 13 06:49:11 2019

xiaojizhi      	ls             	Thu Jun 13 06:50:21 2019

xiaojizhi      	pwd            	Thu Jun 13 06:50:22 2019

xiaojizhi      	cd ..5.o       	Thu Jun 13 06:50:24 2019

xiaojizhi      	ls             	Thu Jun 13 06:50:26 2019

xiaojizhi      	login          	Thu Jun 13 06:51:33 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:01 2019

xiaojizhi      	pwd            	Thu Jun 13 06:52:03 2019

xiaojizhi      	puts client.c  	Thu Jun 13 06:52:14 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:29 2019

xiaojizhi      	cd ..ient.c    	Thu Jun 13 06:52:31 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:32 2019

xiaojizhi      	login          	Thu Jun 13 06:56:04 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:06 2019

xiaojizhi      	pwd            	Thu Jun 13 06:56:06 2019

xiaojizhi      	puts file      	Thu Jun 13 06:56:13 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:56:36 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:53 2019

xiaojizhi      	pwd            	Thu Jun 13 06:56:54 2019

xiaojizhi      	cd ..5.c       	Thu Jun 13 06:56:56 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:57 2019

xiaojizhi      	login          	Thu Jun 13 06:58:47 2019

xiaojizhi      	ls             	Thu Jun 13 06:58:48 2019

xiaojizhi      	pwd            	Thu Jun 13 06:58:50 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:58:52 2019

xiaojizhi      	ls             	Thu Jun 13 06:58:54 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 06:59:03 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:04 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:59:19 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:38 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:59:40 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:41 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 06:59:47 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:48 2019

xiaojizhi      	login          	Thu Jun 13 07:07:24 2019

xiaojizhi      	ls             	Thu Jun 13 07:07:25 2019

xiaojizhi      	pwd            	Thu Jun 13 07:07:27 2019

xiaojizhi      	puts file      	Thu Jun 13 07:07:37 2019

xiaojizhi      	login          	Thu Jun 13 07:09:38 2019

xiaojizhi      	ls             	Thu Jun 13 07:09:38 2019

xiaojizhi      	pwd            	Thu Jun 13 07:09:39 2019

xiaojizhi      	puts file      	Thu Jun 13 07:09:46 2019

xiaojizhi      	ls             	Thu Jun 13 07:09:50 2019

xiaojizhi      	pwd            	Thu Jun 13 07:09:51 2019

xiaojizhi      	cd ..          	Thu Jun 13 07:09:52 2019

xiaojizhi      	ls             	Thu Jun 13 07:09:54 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 07:10:03 2019

xiaojizhi      	login          	Thu Jun 13 07:18:32 2019

xiaojizhi      	login          	Thu Jun 13 07:49:39 2019

xiaojizhi      	ls             	Thu Jun 13 07:49:42 2019

xiaojizhi      	login          	Thu Jun 13 07:50:06 2019

xiaojizhi      	gets file      	Thu Jun 13 07:50:08 2019

xiaojizhi      	gets file      	Thu Jun 13 07:50:21 2019

xiaojizhi      	login          	Thu Jun 13 08:05:42 2019

xiaojizhi      	gets file      	Thu Jun 13 08:05:56 2019

xiaojizhi      	gets file      	Thu Jun 13 08:06:15 2019

xiaojizhi      	gets file      	Thu Jun 13 08:06:34 2019

xiaojizhi      	gets file      	Thu Jun 13 08:06:46 2019

xiaojizhi      	login          	Thu Jun 13 08:41:57 2019

xiaojizhi      	ls             	Thu Jun 13 08:41:59 2019

xiaojizhi      	remove file    	Thu Jun 13 08:42:12 2019

xiaojizhi      	login          	Thu Jul 29 22:16:00 2021

xiaojizhi      	ls             	Thu Jul 29 22:16:02 2021

xiaojizhi      	cd ..          	Thu Jul 29 22:16:05 2021

xiaojizhi      	ls             	Thu Jul 29 22:16:06 2021

xiaojizhi      	cd Diskofxiaojizhi	Thu Jul 29 22:16:13 2021

xiaojizhi      	ls             	Thu Jul 29 22:16:14 2021

xiaojizhi      	remove b.txt   	Thu Jul 29 22:16:31 2021

xiaojizhi      	ls             	Thu Jul 29 22:16:33 2021

xiaojizhi      	pwd            	Thu Jul 29 22:16:38 2021

xiaojizhi      	puts b.txt     	Thu Jul 29 22:17:13 2021

xiaojizhi      	ls             	Thu Jul 29 22:17:16 2021

xiaojizhi      	gets b.txt     	Thu Jul 29 22:17:25 2021

xiaojizhi      	gets md5.c     	Thu Jul 29 22:17:40 2021

xiaojizhi      	cd ..          	Thu Jul 29 22:17:52 2021

xiaojizhi      	pwd            	Thu Jul 29 22:17:54 2021

xiaojizhi      	ls             	Thu Jul 29 22:17:56 2021

xiaojizhi      	cd ..          	Thu Jul 29 22:17:57 2021

xiaojizhi      	ls             	Thu Jul 29 22:17:59 2021

xiaojizhi      	cd ..          	Thu Jul 29 22:18:01 2021

xiaojizhi      	ls             	Thu Jul 29 22:18:05 2021

xiaojizhi      	pwd            	Thu Jul 29 22:18:07 2021

xiaojizhi      	login          	Thu Jul 29 22:18:35 2021

